Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
2,True,Vitoria_RJ_CoronaVac,Vitoria -> RJ,ik,Vitoria,-20.3155,-40.3128,RJ,-22.84,-43.15,3.060,2718,CoronaVac,aereo
2,True,RioDeJaneiro_BA_AstraZeneca,RioDeJaneiro -> BA,ik,RioDeJaneiro,-22.9068,-43.1729,BA,-12.96,-38.51,4.367,5561,AstraZeneca,aereo
2,True,RioDeJaneiro_BA_Janssen,RioDeJaneiro -> BA,ik,RioDeJaneiro,-22.9068,-43.1729,BA,-12.96,-38.51,4.367,1401,Janssen,aereo
2,True,RioDeJaneiro_DF_AstraZeneca,RioDeJaneiro -> DF,ik,RioDeJaneiro,-22.9068,-43.1729,DF,-15.83,-47.86,3.907,9451,AstraZeneca,aereo
2,True,RioDeJaneiro_ES_AstraZeneca,RioDeJaneiro -> ES,ik,RioDeJaneiro,-22.9068,-43.1729,ES,-19.19,-40.34,3.224,1182,AstraZeneca,aereo
2,True,RioDeJaneiro_ES_Janssen,RioDeJaneiro -> ES,ik,RioDeJaneiro,-22.9068,-43.1729,ES,-19.19,-40.34,3.224,125,Janssen,aereo
2,True,RioDeJaneiro_GO_AstraZeneca,RioDeJaneiro -> GO,ik,RioDeJaneiro,-22.9068,-43.1729,GO,-16.64,-49.31,3.939,4146,AstraZeneca,aereo
2,True,RioDeJaneiro_MS_Janssen,RioDeJaneiro -> MS,ik,RioDeJaneiro,-22.9068,-43.1729,MS,-20.51,-54.54,4.356,223,Janssen,aereo
2,True,RioDeJaneiro_PR_AstraZeneca,RioDeJaneiro -> PR,ik,RioDeJaneiro,-22.9068,-43.1729,PR,-24.89,-51.55,3.829,7431,AstraZeneca,aereo
2,True,RioDeJaneiro_PR_Janssen,RioDeJaneiro -> PR,ik,RioDeJaneiro,-22.9068,-43.1729,PR,-24.89,-51.55,3.829,80,Janssen,aereo
2,True,RioDeJaneiro_RS_AstraZeneca,RioDeJaneiro -> RS,ik,RioDeJaneiro,-22.9068,-43.1729,RS,-30.01,-51.22,4.227,826,AstraZeneca,aereo
2,True,RioDeJaneiro_SC_AstraZeneca,RioDeJaneiro -> SC,ik,RioDeJaneiro,-22.9068,-43.1729,SC,-27.33,-49.44,3.700,1207,AstraZeneca,aereo
2,True,RioDeJaneiro_SP_Janssen,RioDeJaneiro -> SP,ik,RioDeJaneiro,-22.9068,-43.1729,SP,-23.55,-46.64,2.987,4663,Janssen,aereo
2,True,SaoPaulo_AM_Pfizer,SaoPaulo -> AM,ik,SaoPaulo,-23.5505,-46.6333,AM,-3.07,-61.66,6.937,7325,Pfizer,aereo
2,True,SaoPaulo_DF_Pfizer,SaoPaulo -> DF,ik,SaoPaulo,-23.5505,-46.6333,DF,-15.83,-47.86,3.811,7703,Pfizer,aereo
2,True,SaoPaulo_ES_Pfizer,SaoPaulo -> ES,ik,SaoPaulo,-23.5505,-46.6333,ES,-19.19,-40.34,3.720,905,Pfizer,aereo
2,True,SaoPaulo_PA_Pfizer,SaoPaulo -> PA,ik,SaoPaulo,-23.5505,-46.6333,PA,-5.53,-52.29,5.802,2583,Pfizer,aereo
2,True,SaoPaulo_PR_Pfizer,SaoPaulo -> PR,ik,SaoPaulo,-23.5505,-46.6333,PR,-24.89,-51.55,3.246,1331,Pfizer,aereo
2,True,SaoPaulo_PI_Pfizer,SaoPaulo -> PI,ik,SaoPaulo,-23.5505,-46.6333,PI,-8.28,-43.68,5.206,3269,Pfizer,aereo
2,True,SaoPaulo_RJ_Pfizer,SaoPaulo -> RJ,ik,SaoPaulo,-23.5505,-46.6333,RJ,-22.84,-43.15,2.993,20191,Pfizer,aereo
2,True,SaoPaulo_RS_Pfizer,SaoPaulo -> RS,ik,SaoPaulo,-23.5505,-46.6333,RS,-30.01,-51.22,3.782,458,Pfizer,aereo
2,True,SaoPaulo_SC_Pfizer,SaoPaulo -> SC,ik,SaoPaulo,-23.5505,-46.6333,SC,-27.33,-49.44,3.222,592,Pfizer,aereo
2,True,SaoPaulo_TO_Pfizer,SaoPaulo -> TO,ik,SaoPaulo,-23.5505,-46.6333,TO,-10.25,-48.25,4.819,16,Pfizer,aereo
