Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
4,True,PortoVelho_Belem_AstraZeneca,PortoVelho -> Belem,ij,PortoVelho,-8.7494,-63.9106,Belem,-1.4554,-48.5051,5.068,756,AstraZeneca,aereo
4,True,RioBranco_PortoVelho_Janssen,RioBranco -> PortoVelho,ij,RioBranco,-9.9724,-67.8101,PortoVelho,-8.7494,-63.9106,2.729,342,Janssen,aereo
4,True,Manaus_Belem_AstraZeneca,Manaus -> Belem,ij,Manaus,-3.0922,-60.0604,Belem,-1.4554,-48.5051,4.107,679,AstraZeneca,aereo
4,True,Manaus_Fortaleza_Janssen,Manaus -> Fortaleza,ij,Manaus,-3.0922,-60.0604,Fortaleza,-3.7254,-38.5236,5.886,476,Janssen,aereo
4,True,Macapa_Belem_Pfizer,Macapa -> Belem,ij,Macapa,0.0407,-51.0574,Belem,-1.4554,-48.5051,2.535,2420,Pfizer,aereo
4,True,Palmas_SaoLuis_AstraZeneca,Palmas -> SaoLuis,ij,Palmas,-10.1845,-48.3337,SaoLuis,-2.5274,-44.3061,3.561,134,AstraZeneca,aereo
4,True,Palmas_Brasilia_AstraZeneca,Palmas -> Brasilia,ij,Palmas,-10.1845,-48.3337,Brasilia,-15.7975,-47.8919,3.017,1129,AstraZeneca,aereo
4,True,SaoLuis_Belem_CoronaVac,SaoLuis -> Belem,ij,SaoLuis,-2.5274,-44.3061,Belem,-1.4554,-48.5051,2.783,659,CoronaVac,aereo
4,True,Teresina_PortoVelho_CoronaVac,Teresina -> PortoVelho,ij,Teresina,-5.0911,-42.8116,PortoVelho,-8.7494,-63.9106,5.841,659,CoronaVac,aereo
4,True,Teresina_Manaus_CoronaVac,Teresina -> Manaus,ij,Teresina,-5.0911,-42.8116,Manaus,-3.0922,-60.0604,5.129,3895,CoronaVac,aereo
4,True,Teresina_BoaVista_CoronaVac,Teresina -> BoaVista,ij,Teresina,-5.0911,-42.8116,BoaVista,2.8212,-60.673,5.527,523,CoronaVac,aereo
4,True,Teresina_Belem_CoronaVac,Teresina -> Belem,ij,Teresina,-5.0911,-42.8116,Belem,-1.4554,-48.5051,3.219,1244,CoronaVac,aereo
4,True,Teresina_Macapa_CoronaVac,Teresina -> Macapa,ij,Teresina,-5.0911,-42.8116,Macapa,0.0407,-51.0574,3.753,435,CoronaVac,aereo
4,True,Teresina_SaoLuis_AstraZeneca,Teresina -> SaoLuis,ij,Teresina,-5.0911,-42.8116,SaoLuis,-2.5274,-44.3061,2.536,4598,AstraZeneca,aereo
4,True,Teresina_Fortaleza_Janssen,Teresina -> Fortaleza,ij,Teresina,-5.0911,-42.8116,Fortaleza,-3.7254,-38.5236,2.811,543,Janssen,aereo
4,True,Fortaleza_SaoLuis_Pfizer,Fortaleza -> SaoLuis,ij,Fortaleza,-3.7254,-38.5236,SaoLuis,-2.5274,-44.3061,3.065,1215,Pfizer,aereo
4,True,Fortaleza_Teresina_Pfizer,Fortaleza -> Teresina,ij,Fortaleza,-3.7254,-38.5236,Teresina,-5.0911,-42.8116,2.811,1122,Pfizer,aereo
4,True,Natal_Maceio_AstraZeneca,Natal -> Maceio,ij,Natal,-5.8301,-35.2128,Maceio,-9.6599,-35.7406,2.698,1550,AstraZeneca,aereo
4,True,JoaoPessoa_Maceio_AstraZeneca,JoaoPessoa -> Maceio,ij,JoaoPessoa,-7.1688,-34.8638,Maceio,-9.6599,-35.7406,2.477,2938,AstraZeneca,aereo
4,True,JoaoPessoa_Aracaju_AstraZeneca,JoaoPessoa -> Aracaju,ij,JoaoPessoa,-7.1688,-34.8638,Aracaju,-10.9444,-37.069,2.788,1907,AstraZeneca,aereo
4,True,Recife_Teresina_Pfizer,Recife -> Teresina,ij,Recife,-8.0632,-34.8711,Teresina,-5.0911,-42.8116,3.523,3163,Pfizer,aereo
4,True,Recife_Fortaleza_Janssen,Recife -> Fortaleza,ij,Recife,-8.0632,-34.8711,Fortaleza,-3.7254,-38.5236,3.022,30,Janssen,aereo
4,True,Recife_Natal_Pfizer,Recife -> Natal,ij,Recife,-8.0632,-34.8711,Natal,-5.8301,-35.2128,2.408,2954,Pfizer,aereo
4,True,Recife_Natal_CoronaVac,Recife -> Natal,ij,Recife,-8.0632,-34.8711,Natal,-5.8301,-35.2128,2.408,2489,CoronaVac,aereo
4,True,Recife_Natal_Janssen,Recife -> Natal,ij,Recife,-8.0632,-34.8711,Natal,-5.8301,-35.2128,2.408,544,Janssen,aereo
4,True,Recife_JoaoPessoa_CoronaVac,Recife -> JoaoPessoa,ij,Recife,-8.0632,-34.8711,JoaoPessoa,-7.1688,-34.8638,2.162,1389,CoronaVac,aereo
4,True,Recife_JoaoPessoa_Janssen,Recife -> JoaoPessoa,ij,Recife,-8.0632,-34.8711,JoaoPessoa,-7.1688,-34.8638,2.162,192,Janssen,aereo
4,True,Recife_Maceio_CoronaVac,Recife -> Maceio,ij,Recife,-8.0632,-34.8711,Maceio,-9.6599,-35.7406,2.328,413,CoronaVac,aereo
4,True,Recife_Maceio_Janssen,Recife -> Maceio,ij,Recife,-8.0632,-34.8711,Maceio,-9.6599,-35.7406,2.328,442,Janssen,aereo
4,True,Recife_Aracaju_Janssen,Recife -> Aracaju,ij,Recife,-8.0632,-34.8711,Aracaju,-10.9444,-37.069,2.651,40,Janssen,aereo
4,True,Recife_RioDeJaneiro_CoronaVac,Recife -> RioDeJaneiro,ij,Recife,-8.0632,-34.8711,RioDeJaneiro,-22.9068,-43.1729,5.044,1701,CoronaVac,aereo
4,True,Maceio_SaoLuis_Pfizer,Maceio -> SaoLuis,ij,Maceio,-9.6599,-35.7406,SaoLuis,-2.5274,-44.3061,4.007,5026,Pfizer,aereo
4,True,Salvador_BeloHorizonte_CoronaVac,Salvador -> BeloHorizonte,ij,Salvador,-12.9742,-38.5125,BeloHorizonte,-19.9237,-43.9363,3.568,1904,CoronaVac,aereo
