Modelo,Usa_Penalidade,ID_Fluxo,Rota,Tipo_Rota,Origem,Lat_O,Lon_O,Destino,Lat_D,Lon_D,Custo_Horas,Doses,Vacina,Modal
1,True,PortoVelho_RioBranco_CoronaVac,PortoVelho -> RioBranco,ij,PortoVelho,-8.7494,-63.9106,RioBranco,-9.9724,-67.8101,2.729,4668,CoronaVac,aereo
1,True,PortoVelho_Manaus_Pfizer,PortoVelho -> Manaus,ij,PortoVelho,-8.7494,-63.9106,Manaus,-3.0922,-60.0604,3.234,4549,Pfizer,aereo
1,True,PortoVelho_Manaus_AstraZeneca,PortoVelho -> Manaus,ij,PortoVelho,-8.7494,-63.9106,Manaus,-3.0922,-60.0604,3.234,6968,AstraZeneca,aereo
1,True,PortoVelho_Manaus_CoronaVac,PortoVelho -> Manaus,ij,PortoVelho,-8.7494,-63.9106,Manaus,-3.0922,-60.0604,3.234,885,CoronaVac,aereo
1,True,PortoVelho_Manaus_Janssen,PortoVelho -> Manaus,ij,PortoVelho,-8.7494,-63.9106,Manaus,-3.0922,-60.0604,3.234,692,Janssen,aereo
1,True,RioBranco_PortoVelho_Pfizer,RioBranco -> PortoVelho,ij,RioBranco,-9.9724,-67.8101,PortoVelho,-8.7494,-63.9106,2.729,4675,Pfizer,aereo
1,True,RioBranco_PortoVelho_AstraZeneca,RioBranco -> PortoVelho,ij,RioBranco,-9.9724,-67.8101,PortoVelho,-8.7494,-63.9106,2.729,5015,AstraZeneca,aereo
1,True,RioBranco_PortoVelho_CoronaVac,RioBranco -> PortoVelho,ij,RioBranco,-9.9724,-67.8101,PortoVelho,-8.7494,-63.9106,2.729,4016,CoronaVac,aereo
1,True,RioBranco_Manaus_Janssen,RioBranco -> Manaus,ij,RioBranco,-9.9724,-67.8101,Manaus,-3.0922,-60.0604,3.865,1239,Janssen,aereo
1,True,Manaus_PortoVelho_Pfizer,Manaus -> PortoVelho,ij,Manaus,-3.0922,-60.0604,PortoVelho,-8.7494,-63.9106,3.234,1537,Pfizer,aereo
1,True,Manaus_PortoVelho_AstraZeneca,Manaus -> PortoVelho,ij,Manaus,-3.0922,-60.0604,PortoVelho,-8.7494,-63.9106,3.234,1197,AstraZeneca,aereo
1,True,Manaus_PortoVelho_Janssen,Manaus -> PortoVelho,ij,Manaus,-3.0922,-60.0604,PortoVelho,-8.7494,-63.9106,3.234,1034,Janssen,aereo
1,True,Manaus_RioBranco_Pfizer,Manaus -> RioBranco,ij,Manaus,-3.0922,-60.0604,RioBranco,-9.9724,-67.8101,3.865,4668,Pfizer,aereo
1,True,Manaus_RioBranco_AstraZeneca,Manaus -> RioBranco,ij,Manaus,-3.0922,-60.0604,RioBranco,-9.9724,-67.8101,3.865,4668,AstraZeneca,aereo
1,True,Manaus_RioBranco_Janssen,Manaus -> RioBranco,ij,Manaus,-3.0922,-60.0604,RioBranco,-9.9724,-67.8101,3.865,778,Janssen,aereo
1,True,Manaus_BoaVista_Pfizer,Manaus -> BoaVista,ij,Manaus,-3.0922,-60.0604,BoaVista,2.8212,-60.673,3.074,5824,Pfizer,aereo
